nuts2-2016	nuts1-2016	name
AL0	AL	SHQIPËRIA
AT1	AT	OSTÖSTERREICH
AT2	AT	SÜDÖSTERREICH
AT3	AT	WESTÖSTERREICH
BE1	BE	RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE2	BE	VLAAMS GEWEST
BE3	BE	RÉGION WALLONNE
BG3	BG	СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ
BG4	BG	ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ
CH0	CH	SCHWEIZ/SUISSE/SVIZZERA
CY0	CY	ΚΥΠΡΟΣ
CZ0	CZ	ČESKÁ REPUBLIKA
DE1	DE	BADEN-WÜRTTEMBERG
DE2	DE	BAYERN
DE3	DE	BERLIN
DE4	DE	BRANDENBURG
DE5	DE	BREMEN
DE6	DE	HAMBURG
DE7	DE	HESSEN
DE8	DE	MECKLENBURG-VORPOMMERN
DE9	DE	NIEDERSACHSEN
DEA	DE	NORDRHEIN-WESTFALEN
DEB	DE	RHEINLAND-PFALZ
DEC	DE	SAARLAND
DED	DE	SACHSEN
DEE	DE	SACHSEN-ANHALT
DEF	DE	SCHLESWIG-HOLSTEIN
DEG	DE	THÜRINGEN
DK0	DK	DANMARK
EE0	EE	EESTI
EL3	EL	ATTIKΗ
EL4	EL	NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ
EL5	EL	ΒΟΡΕΙΑ ΕΛΛΑΔΑ
EL6	EL	ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ
ES1	ES	NOROESTE
ES2	ES	NORESTE
ES3	ES	COMUNIDAD DE MADRID
ES4	ES	CENTRO (ES)
ES5	ES	ESTE
ES6	ES	SUR
ES7	ES	CANARIAS
FI1	FI	MANNER-SUOMI
FI2	FI	ÅLAND
FR1	FR	ILE-DE-FRANCE
FRB	FR	CENTRE - VAL DE LOIRE
FRC	FR	BOURGOGNE-FRANCHE-COMTÉ
FRD	FR	NORMANDIE
FRE	FR	NORD-PAS DE CALAIS-PICARDIE
FRF	FR	ALSACE-CHAMPAGNE-ARDENNE-LORRAINE
FRG	FR	PAYS DE LA LOIRE
FRH	FR	BRETAGNE
FRI	FR	AQUITAINE-LIMOUSIN-POITOU-CHARENTES
FRJ	FR	LANGUEDOC-ROUSSILLON-MIDI-PYRÉNÉES
FRK	FR	AUVERGNE-RHÔNE-ALPES
FRL	FR	PROVENCE-ALPES-CÔTE D’AZUR
FRM	FR	CORSE
FRY	FR	RUP FR - RÉGIONS ULTRAPÉRIPHÉRIQUES FRANÇAISES
HR0	HR	HRVATSKA
HU1	HU	KÖZÉP-MAGYARORSZÁG
HU2	HU	DUNÁNTÚL
HU3	HU	ALFÖLD ÉS ÉSZAK
IE0	IE	IRELAND
IS0	IS	ÍSLAND
ITC	IT	NORD-OVEST
ITF	IT	SUD
ITG	IT	ISOLE
ITH	IT	NORD-EST
ITI	IT	CENTRO (IT)
LI0	LI	LIECHTENSTEIN
LT0	LT	LIETUVA
LU0	LU	LUXEMBOURG
LV0	LV	LATVIJA
ME0	ME	ЦРНА ГОРА
MK0	MK	Severna Makedonija
MT0	MT	MALTA
NL1	NL	NOORD-NEDERLAND
NL2	NL	OOST-NEDERLAND
NL3	NL	WEST-NEDERLAND
NL4	NL	ZUID-NEDERLAND
NO0	NO	NORGE
PL2	PL	MAKROREGION POŁUDNIOWY
PL4	PL	MAKROREGION PÓŁNOCNO-ZACHODNI
PL5	PL	MAKROREGION POŁUDNIOWO-ZACHODNI
PL6	PL	MAKROREGION PÓŁNOCNY
PL7	PL	MAKROREGION CENTRALNY
PL8	PL	MAKROREGION WSCHODNI
PL9	PL	MAKROREGION WOJEWÓDZTWO MAZOWIECKIE
PT1	PT	CONTINENTE
PT2	PT	REGIÃO AUTÓNOMA DOS AÇORES
PT3	PT	REGIÃO AUTÓNOMA DA MADEIRA
RO1	RO	MACROREGIUNEA UNU
RO2	RO	MACROREGIUNEA DOI
RO3	RO	MACROREGIUNEA TREI
RO4	RO	MACROREGIUNEA PATRU
RS1	RS	Србија - север
RS2	RS	Србија - југ
SE1	SE	ÖSTRA SVERIGE
SE2	SE	SÖDRA SVERIGE
SE3	SE	NORRA SVERIGE
SI0	SI	SLOVENIJA
SK0	SK	SLOVENSKO
TR1	TR	ISTANBUL
TR2	TR	BATI MARMARA
TR3	TR	EGE
TR4	TR	DOGU MARMARA
TR5	TR	BATI ANADOLU
TR6	TR	AKDENIZ
TR7	TR	ORTA ANADOLU
TR8	TR	BATI KARADENIZ
TR9	TR	DOGU KARADENIZ
TRA	TR	KUZEYDOGU ANADOLU
TRB	TR	ORTADOGU ANADOLU
TRC	TR	GÜNEYDOGU ANADOLU
UKC	UK	NORTH EAST (ENGLAND)
UKD	UK	NORTH WEST (ENGLAND)
UKE	UK	YORKSHIRE AND THE HUMBER
UKF	UK	EAST MIDLANDS (ENGLAND)
UKG	UK	WEST MIDLANDS (ENGLAND)
UKH	UK	EAST OF ENGLAND
UKI	UK	LONDON
UKJ	UK	SOUTH EAST (ENGLAND)
UKK	UK	SOUTH WEST (ENGLAND)
UKL	UK	WALES
UKM	UK	SCOTLAND
UKN	UK	NORTHERN IRELAND
